Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,30,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.55,2047.01,Yes
Female,0,No,Yes,11,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,48.08,522.42,No
Female,1,No,No,17,No,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,36.56,610.07,No
Female,0,Yes,No,26,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),79.72,2159.26,Yes
Male,0,Yes,Yes,23,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,70.42,1672.56,Yes
Male,0,Yes,No,56,Yes,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),66.3,3742.26,No
Male,0,Yes,No,52,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,64.46,3490.1,No
Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),40.94,2041.05,No
Female,0,No,No,20,No,No,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,34.69,723.47,No
Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,54.66,106.28,Yes
Male,0,Yes,No,31,Yes,No,DSL,No,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),41.44,1312.58,No
Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.63,1764.07,Yes
Female,1,No,No,2,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,53.25,108.99,Yes
Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,One year,No,Credit card (automatic),65.54,255.96,Yes
Male,0,No,No,13,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,62.21,824.48,Yes
Male,0,Yes,No,35,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),117.96,4091.37,Yes
Male,0,No,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,23.41,1741.83,No
Female,1,No,No,66,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,59.38,4034.84,No
Male,0,Yes,No,6,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,31.77,185.12,No
Male,0,Yes,Yes,31,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,50.51,1516.31,No
Female,1,Yes,No,10,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),40.49,413.72,No
Male,0,Yes,No,21,No,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),84.17,1776.49,Yes
Male,1,No,No,23,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Mailed check,20.78,480.67,No
Male,0,No,Yes,3,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Electronic check,88.42,271.96,Yes
Male,0,No,Yes,32,No,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),80.89,2680.36,Yes
Female,0,No,Yes,20,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,120,2337.35,Yes
Male,0,Yes,No,29,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No,One year,Yes,Mailed check,119.09,3472.79,Yes
Female,1,Yes,Yes,52,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,41.06,2205.36,No
Female,0,No,No,46,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,102.11,4872.16,Yes
Male,0,Yes,Yes,34,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.27,1839.23,No
Female,0,No,No,61,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),74.13,4342.93,No
Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,116.6,8170.9,Yes
Male,0,Yes,No,71,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.25,3133.39,No
Female,1,No,Yes,70,No,No,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,66.68,4650.09,No
Female,0,Yes,No,11,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),18,196.39,No
Female,0,No,Yes,63,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.64,5492.21,Yes
Male,0,No,No,21,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),120,2406.86,Yes
Male,0,No,No,3,Yes,Yes,DSL,No,Yes,No internet service,No,No,Yes,Two year,No,Electronic check,82.2,250.76,Yes
Female,0,No,Yes,10,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,106.04,1069.93,Yes
Male,0,No,No,27,No,No,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),99.26,2700.26,Yes
Male,1,No,No,12,Yes,No,DSL,No,Yes,Yes,No,No internet service,No,One year,No,Electronic check,43.8,505.12,No
Male,0,Yes,Yes,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.73,515.37,Yes
Male,0,Yes,No,17,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.82,1399.33,Yes
Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,One year,Yes,Mailed check,30.01,1887.24,No
Male,1,Yes,No,64,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,108.34,7199.11,Yes
Female,0,Yes,No,26,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Two year,No,Electronic check,49.86,1247.29,No
Male,0,Yes,Yes,15,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No,One year,No,Credit card (automatic),58.5,848.47,Yes
Female,0,No,No,33,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,57.09,1879.78,No
Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),66.12,4281.99,No
Male,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),120,5543.86,Yes
Female,0,No,No,35,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,Two year,Yes,Mailed check,46.8,1663.92,No
